what,kind,bundleId,bundleVersion,description,time
arch,sysinfo,,,"x86",1214505325203
ws,sysinfo,,,"win32",1214505325203
locale,sysinfo,,,"en_US",1214505325203
processors,sysinfo,,,"2",1214505325203
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1214505325203
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1214505325203
java.specification.name,sysinfo,,,"Java Platform API Specification",1214505325203
java.specification.vendor,sysinfo,,,"Oracle Corporation",1214505325203
java.specification.version,sysinfo,,,"1.7",1214505325203
java.vendor,sysinfo,,,"Oracle Corporation",1214505325203
java.version,sysinfo,,,"1.7.0_67",1214505325203
java.vm.info,sysinfo,,,"mixed mode",1214505325203
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1214505325203
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1214505325203
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1214505325203
java.vm.specification.version,sysinfo,,,"1.7",1214505325203
java.vm.vendor,sysinfo,,,"Oracle Corporation",1214505325203
java.vm.version,sysinfo,,,"24.65-b04",1214505325203
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1214505327000
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1214505327093
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1214505327281
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1214505327343
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1214505327468
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1214505327468
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1214505328234
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1214505328406
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1214505329171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1214505330781
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1214505330921
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1214505330953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1214505332156
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1214505332359
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1214505333656
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1214519431281
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1214519431281
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1214519431281
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1214519431281
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1214519431281
