what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409133997031
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134002109
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1409134004906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134005875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134006734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134013203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134014234
failed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.add.unimplemented.constructors",1409134014234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134023859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134052406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409134055421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134061468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134065468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134106218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134116796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134118765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134298281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134299843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134417140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134427968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134427968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134428062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134430953
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1409134434796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1409134435218
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409134450890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1409134474796
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1409134477437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134479156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134480265
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1409134482921
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1409134490093
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1409134497187
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1409134497218
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1409134497265
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1409134497296
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1409134497359
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1409134497359
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1409134497390
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1409134497390
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1409134497390
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1409134497453
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409134503109
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134506625
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134509031
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134509859
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134511015
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134511046
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134511046
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409134513671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134516000
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1409134520953
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1409134520968
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1409134521000
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1409134521015
started,bundle,org.eclipse.jst.j2ee,1.1.503.v201202090300,"org.eclipse.jst.j2ee",1409134521046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134521125
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409134521140
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134526968
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134573343
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134573453
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134573484
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409134585359
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134597703
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134597718
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134597718
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1409134599546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134601484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134603765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1409134603796
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1409134608843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134612843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134664156
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134664265
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1409134664312
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1409134670171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409134672218
